,Url,Autovit Id,Pret (EUR),Oferit de,Categorie,Marca,Model,Anul,Km,Combustibil,Putere (CP),Capacitate cilindrica (cm3),Cutie de viteze,Tip Caroserie,Numar de portiere,Culoare,Fara accident in istoric,Carte de service,Tractiune,Filtru de particule,Inmatriculat,Primul proprietar,Consum (l/100km)
77,https://www.autovit.ro/anunt/volkswagen-passat-cc-2-0-tdi-ID7H4Ta1.html,7049477625,12450.0,Proprietar,Autoturisme,Volkswagen,Passat CC,2017,235000,Diesel,184.0,1968.0,Manuala,Sedan,4,Negru,Da,Da,Fata,Da,Da,Nu,5.9
78,https://www.autovit.ro/anunt/audi-a5-2-0-tdi-sportback-dpf-multitronic-ID7H5P7d.html,7049700403,14350.0,Proprietar,Autoturisme,Audi,A5,2013,178000,Diesel,150.0,1968.0,Automata,Sedan,5,Gri,Da,Da,Fata,Da,Da,Da,5.7
79,https://www.autovit.ro/anunt/peugeot-508-1-6-e-hdi-fap-bmp-stt-ID7H6Yx4.html,7049974930,7590.0,Firma,Autoturisme,Peugeot,508,2013,226000,Diesel,115.0,1560.0,Automata,Sedan,4,Negru,Nu,Nu,Nu e mentionat,Nu,Nu,Nu,5.1
80,https://www.autovit.ro/anunt/bentley-flying-spur-v8-ID7H52Fo.html,7049514166,89000.0,Proprietar,Autoturisme,Bentley,Flying Spur,2016,60000,Benzina,507.0,3993.0,Automata,Sedan,4,Alb,Nu,Nu,4x4,Nu,Da,Nu,15.9
81,https://www.autovit.ro/anunt/mercedes-benz-gle-coupe-400-d-4matic-ID7H0c46.html,7048358654,118484.0,Firma,Autoturisme,Mercedes-Benz,GLE Coupe,2022,30,Diesel,330.0,2925.0,Automata,SUV,5,Negru,Nu,Nu,4x4,Da,Nu,Nu,8.5
82,https://www.autovit.ro/anunt/porsche-panamera-4s-e-hybrid-ID7H5psX.html,7049601807,119595.0,Firma,Autoturisme,Porsche,Panamera,2021,39000,Hibrid,440.0,2894.0,Automata,Sedan,5,Alte culori,Nu,Da,4x4,Nu,Da,Da,6.853900792716427
84,https://www.autovit.ro/anunt/audi-a5-2-0-tdi-sportback-dpf-multitronic-ID7H6Yux.html,7049974773,15990.0,Firma,Autoturisme,Audi,A5,2013,139285,Diesel,143.0,1968.0,Automata,Sedan,5,Gri,Da,Da,Fata,Da,Nu,Nu,5.7
85,https://www.autovit.ro/anunt/volkswagen-golf-1-9-tdi-ID7H6A21.html,7049880749,3000.0,Proprietar,Autoturisme,Volkswagen,Golf,2005,220000,Diesel,105.0,1896.0,Manuala,Masina mica,5,Albastru,Nu,Nu,Nu e mentionat,Nu,Nu,Nu,6.9
86,https://www.autovit.ro/anunt/ford-focus-1-6-tdci-dpf-ID7H6A1X.html,7049880745,4100.0,Proprietar,Autoturisme,Ford,Focus,2012,235000,Diesel,115.0,1560.0,Manuala,Combi,5,Negru,Nu,Nu,Nu e mentionat,Da,Nu,Nu,5.7
87,https://www.autovit.ro/anunt/opel-astra-1-0-turbo-start-stop-ID7H6vGv.html,7049867884,8850.0,Proprietar,Autoturisme,Opel,Astra,2015,80300,Benzina,105.0,998.0,Manuala,Masina mica,5,Argint,Nu,Nu,Nu e mentionat,Nu,Da,Nu,5.4
88,https://www.autovit.ro/anunt/hyundai-tucson-2-0-crdi-4wd-6mt-ID7H6vsp.html,7049867009,16500.0,Proprietar,Autoturisme,Hyundai,Tucson,2016,192265,Diesel,136.0,1995.0,Manuala,SUV,5,Gri,Da,Da,4x4,Nu,Da,Nu,6.0
89,https://www.autovit.ro/anunt/renault-espace-energy-dci-160-edc-ID7H6OXn.html,7049938121,14600.0,Proprietar,Autoturisme,Renault,Espace,2016,175000,Diesel,160.0,1598.0,Automata,Monovolum,5,Gri,Da,Da,Fata,Da,Da,Nu,5.1
90,https://www.autovit.ro/anunt/opel-astra-1-6-d-automatik-sports-tourer-ID7H1r55.html,7048654703,9000.0,Proprietar,Autoturisme,Opel,Astra,2018,187000,Diesel,136.0,1598.0,Automata,Combi,5,Albastru,Da,Da,Fata,Da,Da,Nu,5.0
91,https://www.autovit.ro/anunt/renault-espace-energy-dci-160-edc-ID7H6Yuu.html,7049974770,12990.0,Firma,Autoturisme,Renault,Espace,2016,235000,Diesel,160.0,1598.0,Automata,Monovolum,5,Negru,Nu,Nu,Fata,Da,Nu,Nu,5.1
92,https://www.autovit.ro/anunt/bmw-seria-5-520d-ID7GXPsn.html,7047795091,5790.0,Proprietar,Autoturisme,BMW,Seria 5,2006,217000,Diesel,163.0,1995.0,Manuala,Sedan,4,Albastru,Nu,Nu,Spate,Nu,Da,Nu,8.0
93,https://www.autovit.ro/anunt/ford-f150-ID7H4wWj.html,7049388301,42000.0,Proprietar,Autoturisme,Ford,F150,2016,70000,Benzina,330.0,2694.0,Automata,SUV,4,Negru,Nu,Nu,Spate,Nu,Da,Nu,6.853900792716427
94,https://www.autovit.ro/anunt/mercedes-benz-ml-350-cdi-aut-ID7H6OX8.html,7049938106,11990.0,Proprietar,Autoturisme,Mercedes-Benz,ML,2011,223000,Diesel,231.0,2987.0,Automata,SUV,5,Gri,Nu,Nu,Nu e mentionat,Nu,Nu,Nu,11.9
95,https://www.autovit.ro/anunt/hyundai-i30-ID7H5BaT.html,7049646815,4250.0,Firma,Autoturisme,Hyundai,I30,2011,230000,Diesel,90.0,1582.0,Manuala,Combi,5,Alb,Nu,Nu,Nu e mentionat,Nu,Nu,Nu,6.853900792716427
